Case;Subcase;total_costs;carbon_costs;carbon_revenues;technology_cost;network_cost;import_cost;export_revenues;violation_cost;net_emissions;positive_emissions;negative_emissions;net_emissions_from_technologies;net_emissions_from_carriers;net_emissions_from_networks;time_total;lb;ub;absolute gap;objective;solver_status;pareto_point;monte_carlo_run;time_stage;normalized_costs;normalized_emissions;delta_cost;delta_emissions;abatemente_cost;curtailment_total;generic_production_total;import_el;export_h2;PowerPlant_Coal_existing;PowerPlant_Gas_existing;PowerPlant_Nuclear_existing;PowerPlant_Oil_existing;Storage_PumpedHydro_Closed_existing;Storage_PumpedHydro_Open_existing;Storage_PumpedHydro_Reservoir_existing;Storage_Battery_Offshore;Storage_Battery_new;Storage_Battery_Offshore_HP;Storage_Battery_new_HP;Electrolyser_PEM;Electrolyser_PEM_offshore;FuelCell;Storage_Hydrogen;electricityAC_existing;electricityDC_existing;hydrogenPipelineOffshore;hydrogenPipelineOnshore_new;hydrogenPipelineOnshore_re;electricityAC;electricityDC;PowerPlant_Nuclear_existing_size;Storage_PumpedHydro_Open_existing_size;PowerPlant_Coal_existing_size;PowerPlant_Gas_existing_size;Storage_PumpedHydro_Closed_existing_size;Storage_PumpedHydro_Reservoir_existing_size;PowerPlant_Oil_existing_size;Storage_Battery_Offshore_size;Storage_Battery_new_size;Storage_Battery_Offshore_HP_size;Storage_Battery_new_HP_size;Electrolyser_PEM_size;Electrolyser_PEM_offshore_size;FuelCell_size;Storage_Hydrogen_size;h2_emissions;total_emissions;electricity_emissions;hydrogen_costs_smr;total_costs_with_smr;electricity_costs;file
Synergies;All;12515921981;2580731883;0;2153117346;1418934877;6867845061;504707186;0;31138499.36;32259148.54;1120649.179;32257632.38;-1119133.024;0;28316.909;12465887854;12515921981;50034126.84;costs;optimal;0;0;0;0.687721628;0.706552742;-5683188633;-54653958.67;103.9849397;48.34535386;1058.675477;0.001895194;10.37638129;0.20796003;104.7281461;76.61893847;0.001019421;23.42628662;151.7282696;0.940279595;0;0;;;10.41349106;5.38E-18;0;0.036738672;42811.90277;19979.23095;0;0;0;371.1404596;22357.57302;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;0;0;;;5.438017127;0;0;0.737761194;28357747.94;60616896.48;32259148.54;12795292814;25311214795;12515921981;20240623073326_All_costs
Baseline;Baseline;18199110613;4505124873;0;1735240044;133516137.1;11825229560;0;0;56314060.91;56314060.91;0;56229682.94;84377.96792;0;444.7910001;18199110613;18199110613;0;costs;optimal;0;0;0;1;1;0;-29478397.12;0;117.5414848;989.4793457;0.10547246;0;1.868727389;178.7262958;51.13440292;0.022154518;27.71096945;149.1119818;0.940279595;;;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;;;;;;;29478397.12;85792458.03;56314060.91;13300000000;31499110613;18199110613;20240308120552_Baseline_costs
Grid Expansion;all;12547910855;2577626069;0;1680087072;1430656925;6859540789;0;0;32220325.86;32220325.86;0;32218809.71;1516.155225;0;4103.121;12501693017;12547910855;46217837.53;costs;optimal;0;0;0;0.689479344;0.719162551;-5651199758;-53572132.17;105.487677;59.21948894;1047.801342;0.001895194;0;0.207959757;104.5790953;72.6336484;0.001019421;24.14485542;151.7300691;0.940279595;;;;;;;;;42811.90277;19979.23095;;;;571.8673815;22357.57302;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;;;;;;;29478397.12;61698722.98;32220325.86;13300000000;25847910855;12547910855;20240621201520_ElectricityGrid_all_costs
Grid Expansion;no Border;18195315179;4499734419;0;1728140452;156623724.6;11810816583;0;0;56246680.24;56246680.24;0;56162302.27;84377.96792;0;1057.206;18195315179;18195315179;7.25E-05;costs;optimal;0;0;0;0.999791449;0.999214609;-3795434.476;-29545777.79;0.128459437;116.7351134;990.2857171;0.10547246;0;1.868727389;178.5064979;50.7689763;0.022154518;27.73606792;149.1453398;0.940279595;;;;;;;;;42811.90277;19979.23095;;;;444.4614948;0;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;;;;;;;29478397.12;85725077.36;56246680.24;13300000000;31495315179;18195315179;20240623050401_ElectricityGrid_noBorder_costs
Grid Expansion;offshore only;12599928028;2565805678;0;1681035827;1524633953;6828452570;0;0;32072570.97;32072570.97;0;32071056.63;1514.337915;0;3218.829;12513070863;12599928028;86857164.59;costs;optimal;0;0;0;0.692337571;0.717440315;-5599182586;-53719887.06;104.2292324;59.13566109;1047.885169;0.001892922;0;0.204804872;104.1050346;72.81954371;0.000989165;23.83959373;151.8038297;0.940279595;;;;;;;;;42811.90277;19979.23095;;;;0;24940.13339;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;;;;;;;29478397.12;61550968.09;32072570.97;13300000000;25899928028;12599928028;20240622190205_ElectricityGrid_off_costs
Grid Expansion;onshore only;18162068622;4482626462;0;1726192057;187478747.9;11765771354;0;0;56032830.78;56032830.78;0;55948452.81;84377.96792;0;1522.929;18162068622;18162068622;0;costs;optimal;0;0;0;0.997964626;0.996721971;-37041991.88;-29759627.25;1.244706192;116.1264146;990.8944159;0.10547246;0;1.864450827;177.8195581;50.8402987;0.022154518;27.08047731;148.9992483;0.940279595;;;;;;;;;42811.90277;19979.23095;;;;997.3704535;0;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;;;;;;;29478397.12;85511227.9;56032830.78;13300000000;31462068622;18162068622;20240624170158_ElectricityGrid_on_costs
Hydrogen;all;17392586357;4477908709;0;3176485089;154721516.6;11752458794;2168987752;0;51157849.88;55973858.87;4816008.989;55889480.9;-4731631.021;0;7819.856;17382694182;17392586357;9892174.981;costs;optimal;0;0;0;0.955683315;0.939899017;-806524256.7;-34634608.15;23.28665758;65.03378975;1041.987041;0.10547246;44.59267583;1.868729073;178.731613;68.30595488;0.022154518;24.41297469;149.1304323;0.940279595;;;;;46.67499094;0;0;7.164675663;42811.90277;19979.23095;0;0;1151.38238;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;;;14.99639811;0;0;154.2742698;24662388.13;80636247;55973858.87;11131012248;28523598605;17392586357;20240328105528_Hydrogen_Baseline_costs
Hydrogen;local use only;17420534525;4479549855;0;3179644384;133516137.1;11756847160;2129023010;0;51267101.7;55994373.19;4727271.486;55909995.22;-4642893.518;0;4192.125;17420534525;17420534525;0;costs;optimal;0;0;0;0.957219003;0.941172461;-778576088;-34525356.33;22.55084895;68.18471648;1038.836114;0.10547246;43.77103228;1.868727389;178.730832;69.44768985;0.022154518;25.54057933;149.1278377;0.940279595;;;;;45.54117364;;0;5.261343559;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;;;14.84319331;;0;165.9057569;24751125.63;80745498.82;55994373.19;11170976990;28591511515;17420534525;20240327173933_Hydrogen_H4_costs
Hydrogen;no hydrogen offshore;17388207042;4477826559;0;3175724037;155135023.6;11752239142;2172717719;0;51148541;55972831.99;4824290.988;55888454.02;-4739913.021;0;7998.795;17378505167;17388207042;9701875.335;costs;optimal;0;0;0;0.955442681;0.939790513;-810903571.4;-34643917.03;23.40680966;64.95186791;1042.068963;0.10547246;44.669361;1.868729073;178.7316998;68.32148199;0.022154518;24.5132294;149.1309679;0.940279595;;;;;46.76868967;;0;7.682122346;42811.90277;19979.23095;0;0;1206.2609;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;;;15.02874456;;0;159.0109744;24654106.13;80626938.12;55972831.99;11127282281;28515489323;17388207042;20240327151929_Hydrogen_H2_costs
Hydrogen;no hydrogen onshore;17774361738;4486612360;0;3178184619;324002168.7;11775730862;1990168272;0;51663695.34;56082654.5;4418959.156;55998276.53;-4334581.188;0;5412.445;17724009820;17774361738;50351917.93;costs;optimal;0;0;0;0.976661009;0.94579517;-424748875.3;-34128762.69;12.4454811;67.87127683;1039.149554;0.10547246;40.91628848;1.868727389;178.7328462;67.26901461;0.022154518;24.53360897;149.1200119;0.940279595;;;;;;42.91964841;0;3.191157147;42811.90277;19979.23095;1676.643216;0;2571.353735;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;;;;13.26770927;0;35.61872647;25059437.96;81142092.46;56082654.5;11309831728;29084193466;17774361738;20240501103300_Hydrogen_H3_costs
Hydrogen;no storage;17405458773;4504553817;0;2997215959;150578887.2;11823702673;2070592564;0;51709389.88;56306922.71;4597532.832;56222544.75;-4513154.864;0;1828.733;17399710294;17405458773;5748478.685;costs;optimal;0;0;0;0.956390625;0.946327788;-793651840.9;-34083068.15;23.28580986;69.25285676;1037.767974;0.10547246;42.56974844;1.868727389;178.7280182;66.84660164;0.022154518;24.8176474;149.1298753;0.940279595;;;;;42.81275739;0;0;;42811.90277;19979.23095;0;0;1151.046399;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;;;13.42270812;0;0;;24880864.29;81187787;56306922.71;11229407436;28634866208;17405458773;20240327163458_Hydrogen_H1_costs
Storage;all;18199110613;4505124873;0;1735240044;133516137.1;11825229560;0;0;56314060.91;56314060.91;0;56229682.94;84377.96792;0;2472.087;18199110613;18199110613;0;costs;optimal;0;0;0;1;1;-3.05E-05;-29478397.12;0;117.5378757;989.4829548;0.10547246;0;1.868727389;178.7262958;51.13440292;0.022154518;27.84541917;149.1330168;0.940279595;0;0;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;0;0;;;;;;;29478397.12;85792458.03;56314060.91;13300000000;31499110613;18199110613;20240326200833_Battery_all_costs
Storage;offshore only;18199110613;4505124873;0;1735240044;133516137.1;11825229560;0;0;56314060.91;56314060.91;0;56229682.94;84377.96792;0;3005.763;18199110613;18199110613;0;costs;optimal;0;0;0;1;1;-1.91E-05;-29478397.12;0;117.5636466;989.457184;0.10547246;0;1.868727389;178.7262958;51.13440292;0.022154518;27.79393221;149.1332976;0.940279595;0;;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;0;;;;;;;;29478397.12;85792458.03;56314060.91;13300000000;31499110613;18199110613;20240326195758_Battery_off_costs
Storage;onshore only;18199110613;4505124873;0;1735240044;133516137.1;11825229560;0;0;56314060.91;56314060.91;0;56229682.94;84377.96792;0;3167.237;18199110613;18199110613;0;costs;optimal;0;0;0;1;1;3.05E-05;-29478397.12;0;117.5843684;989.4364622;0.10547246;0;1.868727389;178.7262958;51.13440292;0.022154518;27.78810282;149.1319816;0.940279595;;0;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;0;;;;;;;29478397.12;85792458.03;56314060.91;13300000000;31499110613;18199110613;20240326195851_Battery_on_costs
Storage;all;18713572419;4436490906;0;2482637107;133516137.1;11660928269;0;0;55456136.33;55456136.33;0;55427339.68;28796.64636;0;7173.888;18713572419;18713572419;0;costs_emissionlimit;optimal;0;0;0;1.028268514;0.99;514461806;-30336321.7;-16.95860843;115.6886435;991.3321871;0.035995808;0;1.268416739;177.28022;51.20812382;0.179046679;27.43904109;149.0188571;0.940279595;;;0;3.278972732;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;0;10.31941357;;;;;29478397.12;84934533.45;55456136.33;13300000000;32013572419;18713572419;20240327123617_Battery_all_HP_minCost_at_0.99
Storage;all;18740755700;4436490906;0;2510307242;133516137.1;11660441415;0;0;55456136.33;55456136.33;0;55427516.87;28619.46118;0;6086.62;18740755700;18740755700;0;costs_emissionlimit;optimal;0;0;0;1.029762173;0.99;541645086.7;-30336321.7;-17.85467226;115.6704559;991.3503746;0.035774326;0;1.271108717;177.2761731;51.21591264;0.17803848;27.42700959;149.0325872;0.940279595;0;3.30216903;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;0;10.78830897;;;;;;;29478397.12;84934533.45;55456136.33;13300000000;32040755700;18740755700;20240327075418_Battery_all_minCost_at_0.99
Storage;all;19506839486;4367856940;0;3489608438;133516137.1;11515857971;0;0;54598211.75;54598211.75;0;54592958.78;5252.972789;0;10982.428;19506839486;19506839486;0;costs_emissionlimit;optimal;0;0;0;1.071856746;0.98;1307728873;-31194246.28;-41.92211836;113.6380639;993.3827666;0.006566216;0;0.919336413;175.5166993;51.31846473;0.13560402;26.96709744;148.9833518;0.940279595;;;0;6.777955006;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;0;24.3256973;;;;;29478397.12;84076608.87;54598211.75;13300000000;32806839486;19506839486;20240327085726_Battery_all_HP_minCost_at_0.98
Storage;all;19527047880;4367856940;0;3504652767;133516137.1;11521022036;0;0;54598211.75;54598211.75;0;54590456.17;7755.576222;0;6292.619;19527047880;19527047880;0;costs_emissionlimit;optimal;0;0;0;1.072967152;0.98;1327937266;-31194246.28;-42.56994274;113.6895996;993.3312309;0.00969447;0;0.905329601;175.5477454;51.35110697;0.13349179;27.00117775;148.9640959;0.940279595;0;6.712511278;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;0;24.71625011;;;;;;;29478397.12;84076608.87;54598211.75;13300000000;32827047880;19527047880;20240327053630_Battery_all_minCost_at_0.98
Storage;all;23445762123;4161955041;0;8090857432;133516137.1;11059433514;0;0;52024438.01;52024438.01;0;52024438.01;0;0;4842.976;23445762123;23445762123;0;costs_emissionlimit;optimal;0;0;0;1.288291644;0.95;5246651510;-33768020.02;-155.3733832;106.7671034;1000.253727;0;0;0.357510057;168.6563611;51.71992871;0.07734732;25.66217233;148.8618837;0.940279595;0;17.73334657;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;0;87.59939131;;;;;;;29478397.12;81502835.13;52024438.01;13300000000;36745762123;23445762123;20240327034338_Battery_all_minCost_at_0.95
Storage;all;23473165051;4161955041;0;8118511136;133516137.1;11059182737;0;0;52024438.01;52024438.01;0;52024438.01;0;0;8528.809;23473165051;23473165051;0;costs_emissionlimit;optimal;0;0;0;1.289797372;0.95;5274054437;-33768020.02;-156.1848885;106.8023978;1000.218433;0;0;0.359046622;168.6525367;51.72686364;0.077347293;25.64194948;148.8615693;0.940279595;;;0;17.75097601;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;0;87.51461177;;;;;29478397.12;81502835.13;52024438.01;13300000000;36773165051;23473165051;20240327055506_Battery_all_HP_minCost_at_0.95
